ecad			v20181001	61-90
lacad			v20150801	61-90
sacad			v20180701	61-90
eobs			v20190409	00-00
laobs			v20190409	00-00
saobs			v20190409	00-00
ghcnd			v20200407	00-00
ghcndex			v20190930	61-90
hadex2			v20180731	61-90
canada			v20190227	00-00
mexico			v20190529	00-00
decade			v20190227	00-00
honduras 		v20180813	00-00
south_america		v20181023	00-00
brazil			v20190604	00-00
brazil_sp		v20190412	00-00
chile			v20190212	00-00
colombia		v20190218	00-00
pacific			v20180810	71-00
nz			v20180727	00-00
australia		v20181130	00-00
west_africa_pptn	v20181016	61-90
west_africa_pptn	v20191209	81-10
west_africa_indices	v20190325	81-10
south_africa		v20190315	81-10
south_africa		v20200325	61-90
arabia			v20181105	61-90
arabia			v20181029	81-10
acre			v20180816	00-00
spain			v20180313	00-00
russia 			v20200113	00-00
iran			v20190603	00-00
india			v20190429	00-00
china			v20190522	61-90
china			v20191209	81-10
japan			v20190529	00-00
brunei			v20190408	81-10
malaysia		v20190429	81-10
myanmar			v20190524	81-10
vietnam			v20190628	81-10
philippines		v20190711	81-10
philippines		v20191209	61-90
singapore		v20190822	61-90
thailand		v20191017	81-10
thailand		v20191209	61-90
indonesia		v20191118	81-10
